Generated at (UTC): 2025-11-01T12:52:02.592292
Window=7 days | Min price=1.20 | ML filter (Shots/SOT/Corners): ≤ 3.50

===== TEAM LINES — OVER (ranked by combo % then price) =====
 • Sheffield United — Corners Over 5.5 @ 1.720 | Sheffield United vs Derby County | side=home | team 5/10 ( 50.0%), oppA 3/10 ( 30.0%) | combo= 40.0% | ML=1.800 | Team Corners Home
 • Southampton — Corners Over 5.5 @ 1.720 | Southampton vs Preston North End | side=home | team 4/10 ( 40.0%), oppA 4/10 ( 40.0%) | combo= 40.0% | ML=1.720 | Team Corners Home
 • Chelsea — SOT Over 5.5 @ 2.200 | Tottenham Hotspur vs Chelsea | side=away | team 6/9 ( 66.7%), oppA 1/8 ( 12.5%) | combo= 39.6% | ML=2.500 | Team Shots on Target Away
 • Chelsea — SOT Over 4.5 @ 1.660 | Tottenham Hotspur vs Chelsea | side=away | team 6/9 ( 66.7%), oppA 1/8 ( 12.5%) | combo= 39.6% | ML=2.500 | Team Shots on Target Away
 • Borussia Mönchengladbach — Corners Over 4.5 @ 2.200 | St. Pauli vs Borussia Mönchengladbach | side=away | team 4/8 ( 50.0%), oppA 2/7 ( 28.6%) | combo= 39.3% | ML=2.900 | Team Corners Away
 • Inter — SOT Over 4.5 @ 1.720 | Hellas Verona vs Inter | side=away | team 4/8 ( 50.0%), oppA 2/7 ( 28.6%) | combo= 39.3% | ML=1.360 | Team Shots on Target Away
 • Carrarese — Corners Over 4.5 @ 1.900 | Carrarese vs Frosinone | side=home | team 4/10 ( 40.0%), oppA 3/8 ( 37.5%) | combo= 38.8% | ML=2.500 | Team Corners Home
 • Rizespor — Corners Over 5.5 @ 1.900 | Rizespor vs Fatih Karagümrük | side=home | team 1/10 ( 10.0%), oppA 6/9 ( 66.7%) | combo= 38.3% | ML=1.700 | Team Corners Home
 • Juventus — Shots Over 16.5 @ 1.900 | Cremonese vs Juventus | side=away | team 2/8 ( 25.0%), oppA 3/6 ( 50.0%) | combo= 37.5% | ML=1.500 | Team Shots Away
 • FC Bayern München — SOT Over 7.5 @ 1.830 | FC Bayern München vs Bayer 04 Leverkusen | side=home | team 6/8 ( 75.0%), oppA 0/7 (  0.0%) | combo= 37.5% | ML=1.220 | Team Shots on Target Home
 • Real Madrid — Shots Over 19.5 @ 1.830 | Real Madrid vs Valencia | side=home | team 5/10 ( 50.0%), oppA 2/8 ( 25.0%) | combo= 37.5% | ML=1.180 | Team Shots Home
 • Real Madrid — Shots Over 18.5 @ 1.800 | Real Madrid vs Valencia | side=home | team 5/10 ( 50.0%), oppA 2/8 ( 25.0%) | combo= 37.5% | ML=1.180 | Team Shots Home
 • FC Bayern München — Shots Over 17.5 @ 1.720 | FC Bayern München vs Bayer 04 Leverkusen | side=home | team 6/8 ( 75.0%), oppA 0/7 (  0.0%) | combo= 37.5% | ML=1.220 | Team Shots Home
 • Queens Park Rangers — Corners Over 4.5 @ 1.830 | Queens Park Rangers vs Ipswich Town | side=home | team 3/10 ( 30.0%), oppA 4/9 ( 44.4%) | combo= 37.2% | ML=3.400 | Team Corners Home
 • Galatasaray — Corners Over 5.5 @ 1.660 | Galatasaray vs Trabzonspor | side=home | team 3/10 ( 30.0%), oppA 4/9 ( 44.4%) | combo= 37.2% | ML=1.440 | Team Corners Home
 • Atlético Madrid — Corners Over 6.5 @ 2.000 | Atlético Madrid vs Sevilla | side=home | team 4/10 ( 40.0%), oppA 3/9 ( 33.3%) | combo= 36.7% | ML=1.330 | Team Corners Home
 • Leganés — Corners Over 4.5 @ 1.900 | Leganés vs Burgos | side=home | team 4/10 ( 40.0%), oppA 3/9 ( 33.3%) | combo= 36.7% | ML=2.100 | Team Corners Home
 • Crystal Palace — SOT Over 5.5 @ 1.830 | Crystal Palace vs Brentford | side=home | team 4/9 ( 44.4%), oppA 2/7 ( 28.6%) | combo= 36.5% | ML=2.050 | Team Shots on Target Home
 • Sunderland — Corners Over 4.5 @ 2.000 | Sunderland vs Everton | side=home | team 2/9 ( 22.2%), oppA 4/8 ( 50.0%) | combo= 36.1% | ML=2.800 | Team Corners Home
 • Brentford — Shots Over 10.5 @ 1.900 | Crystal Palace vs Brentford | side=away | team 2/9 ( 22.2%), oppA 4/8 ( 50.0%) | combo= 36.1% | ML=3.500 | Team Shots Away
 • FC Barcelona — Shots Over 19.5 @ 1.800 | FC Barcelona vs Elche | side=home | team 6/10 ( 60.0%), oppA 1/9 ( 11.1%) | combo= 35.6% | ML=1.250 | Team Shots Home
 • Monaco — Corners Over 5.5 @ 2.100 | Monaco vs Paris | side=home | team 3/9 ( 33.3%), oppA 3/8 ( 37.5%) | combo= 35.4% | ML=1.610 | Team Corners Home
 • Manchester City — Shots Over 17.5 @ 2.000 | Manchester City vs AFC Bournemouth | side=home | team 3/9 ( 33.3%), oppA 3/8 ( 37.5%) | combo= 35.4% | ML=1.500 | Team Shots Home
 • Nottingham Forest — Shots Over 11.5 @ 2.000 | Nottingham Forest vs Manchester United | side=home | team 3/9 ( 33.3%), oppA 3/8 ( 37.5%) | combo= 35.4% | ML=3.300 | Team Shots Home
 • Brest — Corners Over 4.5 @ 1.900 | Brest vs Olympique Lyonnais | side=home | team 3/9 ( 33.3%), oppA 3/8 ( 37.5%) | combo= 35.4% | ML=3.100 | Team Corners Home
 • Lens — Corners Over 5.5 @ 1.720 | Lens vs Lorient | side=home | team 3/9 ( 33.3%), oppA 3/8 ( 37.5%) | combo= 35.4% | ML=1.480 | Team Corners Home
 • Manchester City — Shots Over 16.5 @ 1.720 | Manchester City vs AFC Bournemouth | side=home | team 3/9 ( 33.3%), oppA 3/8 ( 37.5%) | combo= 35.4% | ML=1.500 | Team Shots Home
 • Manchester City — SOT Over 5.5 @ 1.660 | Manchester City vs AFC Bournemouth | side=home | team 3/9 ( 33.3%), oppA 3/8 ( 37.5%) | combo= 35.4% | ML=1.500 | Team Shots on Target Home
 • Watford — Corners Over 5.5 @ 2.200 | Watford vs Middlesbrough | side=home | team 3/10 ( 30.0%), oppA 4/10 ( 40.0%) | combo= 35.0% | ML=2.550 | Team Corners Home
 • FC Barcelona — SOT Over 7.5 @ 2.100 | FC Barcelona vs Elche | side=home | team 7/10 ( 70.0%), oppA 0/9 (  0.0%) | combo= 35.0% | ML=1.250 | Team Shots on Target Home
 • Millwall — Corners Over 5.5 @ 2.100 | Oxford United vs Millwall | side=away | team 2/10 ( 20.0%), oppA 5/10 ( 50.0%) | combo= 35.0% | ML=2.700 | Team Corners Away
 • Almería — Corners Over 5.5 @ 2.000 | Almería vs SD Eibar | side=home | team 4/10 ( 40.0%), oppA 3/10 ( 30.0%) | combo= 35.0% | ML=1.750 | Team Corners Home
 • Oxford United — Corners Over 4.5 @ 1.800 | Oxford United vs Millwall | side=home | team 1/10 ( 10.0%), oppA 6/10 ( 60.0%) | combo= 35.0% | ML=2.550 | Team Corners Home
 • Charlton Athletic — Corners Over 4.5 @ 1.660 | Charlton Athletic vs Swansea City | side=home | team 1/10 ( 10.0%), oppA 6/10 ( 60.0%) | combo= 35.0% | ML=2.100 | Team Corners Home
 • FC Köln — Shots Over 15.5 @ 2.000 | FC Köln vs Hamburger SV | side=home | team 1/8 ( 12.5%), oppA 4/7 ( 57.1%) | combo= 34.8% | ML=2.150 | Team Shots Home
 • Lazio — Shots Over 16.5 @ 2.000 | Lazio vs Cagliari | side=home | team 1/8 ( 12.5%), oppA 4/7 ( 57.1%) | combo= 34.8% | ML=1.600 | Team Shots Home
 • Lazio — Shots Over 15.5 @ 1.720 | Lazio vs Cagliari | side=home | team 1/8 ( 12.5%), oppA 4/7 ( 57.1%) | combo= 34.8% | ML=1.600 | Team Shots Home
 • Liverpool — Shots Over 16.5 @ 2.000 | Liverpool vs Aston Villa | side=home | team 5/9 ( 55.6%), oppA 1/8 ( 12.5%) | combo= 34.0% | ML=1.610 | Team Shots Home
 • Lazio — Corners Over 6.5 @ 2.100 | Lazio vs Cagliari | side=home | team 2/8 ( 25.0%), oppA 3/7 ( 42.9%) | combo= 33.9% | ML=1.600 | Team Corners Home
 • FC Union Berlin — Shots Over 13.5 @ 2.000 | FC Union Berlin vs SC Freiburg | side=home | team 2/8 ( 25.0%), oppA 3/7 ( 42.9%) | combo= 33.9% | ML=2.600 | Team Shots Home
 • VfL Wolfsburg — SOT Over 4.5 @ 1.830 | VfL Wolfsburg vs TSG Hoffenheim | side=home | team 2/8 ( 25.0%), oppA 3/7 ( 42.9%) | combo= 33.9% | ML=2.750 | Team Shots on Target Home
 • Fiorentina — Corners Over 5.5 @ 1.720 | Fiorentina vs Lecce | side=home | team 2/8 ( 25.0%), oppA 3/7 ( 42.9%) | combo= 33.9% | ML=1.610 | Team Corners Home
 • Lazio — Corners Over 5.5 @ 1.660 | Lazio vs Cagliari | side=home | team 2/8 ( 25.0%), oppA 3/7 ( 42.9%) | combo= 33.9% | ML=1.600 | Team Corners Home
 • Fiorentina — Shots Over 14.5 @ 1.900 | Fiorentina vs Lecce | side=home | team 3/8 ( 37.5%), oppA 2/7 ( 28.6%) | combo= 33.0% | ML=1.610 | Team Shots Home
 • Real Madrid — SOT Over 7.5 @ 1.800 | Real Madrid vs Valencia | side=home | team 4/10 ( 40.0%), oppA 2/8 ( 25.0%) | combo= 32.5% | ML=1.180 | Team Shots on Target Home
 • Real Madrid — Corners Over 6.5 @ 1.720 | Real Madrid vs Valencia | side=home | team 4/10 ( 40.0%), oppA 2/8 ( 25.0%) | combo= 32.5% | ML=1.180 | Team Corners Home
 • Deportivo Alavés — Shots Over 13.5 @ 2.000 | Deportivo Alavés vs Espanyol | side=home | team 2/10 ( 20.0%), oppA 4/9 ( 44.4%) | combo= 32.2% | ML=2.370 | Team Shots Home
 • Real Sociedad II — Corners Over 4.5 @ 1.800 | Real Sociedad II vs Huesca | side=home | team 2/10 ( 20.0%), oppA 4/9 ( 44.4%) | combo= 32.2% | ML=2.620 | Team Corners Home
 • Deportivo Alavés — SOT Over 4.5 @ 1.900 | Deportivo Alavés vs Espanyol | side=home | team 3/10 ( 30.0%), oppA 3/9 ( 33.3%) | combo= 31.7% | ML=2.370 | Team Shots on Target Home
 • Pisa — Corners Over 4.5 @ 1.830 | Pisa vs Cremonese | side=home | team 1/8 ( 12.5%), oppA 3/6 ( 50.0%) | combo= 31.2% | ML=2.250 | Team Corners Home
 • Palermo — Corners Over 5.5 @ 1.800 | Palermo vs Pescara | side=home | team 5/10 ( 50.0%), oppA 1/8 ( 12.5%) | combo= 31.2% | ML=1.450 | Team Corners Home
 • Göztepe — Corners Over 5.5 @ 1.720 | Göztepe vs Gençlerbirliği | side=home | team 4/10 ( 40.0%), oppA 2/9 ( 22.2%) | combo= 31.1% | ML=1.570 | Team Corners Home
 • FC Barcelona — Corners Over 6.5 @ 1.660 | FC Barcelona vs Elche | side=home | team 4/10 ( 40.0%), oppA 2/9 ( 22.2%) | combo= 31.1% | ML=1.250 | Team Corners Home
 • Crystal Palace — Shots Over 15.5 @ 1.800 | Crystal Palace vs Brentford | side=home | team 3/9 ( 33.3%), oppA 2/7 ( 28.6%) | combo= 31.0% | ML=2.050 | Team Shots Home
 • Fulham — Shots Over 13.5 @ 1.900 | Fulham vs Wolverhampton Wanderers | side=home | team 1/9 ( 11.1%), oppA 4/8 ( 50.0%) | combo= 30.6% | ML=1.750 | Team Shots Home
 • Villarreal — Tackles Over 17.5 @ 1.900 | Villarreal vs Rayo Vallecano | side=home | team 5/10 ( 50.0%), oppA 1/9 ( 11.1%) | combo= 30.6% | ML=1.660 | Team Tackles Home
 • Manchester United — Corners Over 5.5 @ 2.100 | Nottingham Forest vs Manchester United | side=away | team 2/9 ( 22.2%), oppA 3/8 ( 37.5%) | combo= 29.9% | ML=2.050 | Team Corners Away
 • Olympique Marseille — Corners Over 5.5 @ 1.830 | Auxerre vs Olympique Marseille | side=away | team 3/9 ( 33.3%), oppA 2/8 ( 25.0%) | combo= 29.2% | ML=1.700 | Team Corners Away
 • Sassuolo — Shots Over 11.5 @ 1.900 | Sassuolo vs Genoa | side=home | team 0/8 (  0.0%), oppA 4/7 ( 57.1%) | combo= 28.6% | ML=2.450 | Team Shots Home
 • FSV Mainz 05 — SOT Over 4.5 @ 1.610 | FSV Mainz 05 vs Werder Bremen | side=home | team 0/8 (  0.0%), oppA 4/7 ( 57.1%) | combo= 28.6% | ML=1.750 | Team Shots on Target Home
 • Brighton & Hove Albion — Corners Over 4.5 @ 2.000 | Brighton & Hove Albion vs Leeds United | side=home | team 4/9 ( 44.4%), oppA 1/8 ( 12.5%) | combo= 28.5% | ML=1.950 | Team Corners Home
 • Paris — Corners Over 4.5 @ 2.000 | Paris vs Rennes | side=home | team 4/9 ( 44.4%), oppA 1/8 ( 12.5%) | combo= 28.5% | ML=2.300 | Team Corners Home
 • Paris Saint Germain — Corners Over 6.5 @ 1.800 | Paris Saint Germain vs Nice | side=home | team 4/9 ( 44.4%), oppA 1/8 ( 12.5%) | combo= 28.5% | ML=1.200 | Team Corners Home
 • Milan — Shots Over 13.5 @ 1.720 | Milan vs Roma | side=home | team 5/9 ( 55.6%), oppA 0/7 (  0.0%) | combo= 27.8% | ML=2.200 | Team Shots Home
 • Fiorentina — SOT Over 5.5 @ 2.000 | Fiorentina vs Lecce | side=home | team 1/8 ( 12.5%), oppA 3/7 ( 42.9%) | combo= 27.7% | ML=1.610 | Team Shots on Target Home
 • Torino — Shots Over 15.5 @ 1.900 | Torino vs Pisa | side=home | team 1/8 ( 12.5%), oppA 3/7 ( 42.9%) | combo= 27.7% | ML=1.950 | Team Shots Home
 • Sassuolo — Corners Over 4.5 @ 1.800 | Sassuolo vs Genoa | side=home | team 1/8 ( 12.5%), oppA 3/7 ( 42.9%) | combo= 27.7% | ML=2.450 | Team Corners Home
 • Real Betis — Corners Over 6.5 @ 2.000 | Real Betis vs Mallorca | side=home | team 1/10 ( 10.0%), oppA 4/9 ( 44.4%) | combo= 27.2% | ML=1.570 | Team Corners Home
 • Levante — Corners Over 4.5 @ 1.720 | Levante vs Celta de Vigo | side=home | team 1/10 ( 10.0%), oppA 4/9 ( 44.4%) | combo= 27.2% | ML=2.800 | Team Corners Home
 • Lazio — SOT Over 5.5 @ 2.000 | Lazio vs Cagliari | side=home | team 2/8 ( 25.0%), oppA 2/7 ( 28.6%) | combo= 26.8% | ML=1.600 | Team Shots on Target Home
 • FC Bayern München — Corners Over 6.5 @ 1.900 | FC Bayern München vs Bayer 04 Leverkusen | side=home | team 2/8 ( 25.0%), oppA 2/7 ( 28.6%) | combo= 26.8% | ML=1.220 | Team Corners Home
 • FC Köln — Corners Over 5.5 @ 1.830 | FC Köln vs Hamburger SV | side=home | team 2/8 ( 25.0%), oppA 2/7 ( 28.6%) | combo= 26.8% | ML=2.150 | Team Corners Home
 • VfL Wolfsburg — Shots Over 14.5 @ 1.830 | VfL Wolfsburg vs TSG Hoffenheim | side=home | team 2/8 ( 25.0%), oppA 2/7 ( 28.6%) | combo= 26.8% | ML=2.750 | Team Shots Home
 • Galatasaray — Corners Over 6.5 @ 1.900 | Galatasaray vs Trabzonspor | side=home | team 2/10 ( 20.0%), oppA 3/9 ( 33.3%) | combo= 26.7% | ML=1.440 | Team Corners Home
 • Elche — Corners Over 4.5 @ 1.800 | Elche vs Real Sociedad | side=home | team 2/10 ( 20.0%), oppA 3/9 ( 33.3%) | combo= 26.7% | ML=2.620 | Team Corners Home
 • Villarreal — SOT Over 5.5 @ 2.000 | Villarreal vs Rayo Vallecano | side=home | team 3/10 ( 30.0%), oppA 2/9 ( 22.2%) | combo= 26.1% | ML=1.660 | Team Shots on Target Home
 • Villarreal — Shots Over 15.5 @ 2.000 | Villarreal vs Rayo Vallecano | side=home | team 3/10 ( 30.0%), oppA 2/9 ( 22.2%) | combo= 26.1% | ML=1.660 | Team Shots Home
 • Villarreal — Shots Over 14.5 @ 1.830 | Villarreal vs Rayo Vallecano | side=home | team 3/10 ( 30.0%), oppA 2/9 ( 22.2%) | combo= 26.1% | ML=1.660 | Team Shots Home
 • Crystal Palace — Corners Over 5.5 @ 2.200 | Crystal Palace vs Brentford | side=home | team 2/9 ( 22.2%), oppA 2/7 ( 28.6%) | combo= 25.4% | ML=2.050 | Team Corners Home
 • Córdoba — Corners Over 5.5 @ 1.830 | Córdoba vs Ceuta | side=home | team 2/10 ( 20.0%), oppA 3/10 ( 30.0%) | combo= 25.0% | ML=1.800 | Team Corners Home
 • Sporting Gijón — Corners Over 4.5 @ 1.830 | Sporting Gijón vs Las Palmas | side=home | team 2/10 ( 20.0%), oppA 3/10 ( 30.0%) | combo= 25.0% | ML=2.450 | Team Corners Home
 • Arsenal — SOT Over 6.5 @ 2.100 | Burnley vs Arsenal | side=away | team 1/9 ( 11.1%), oppA 3/8 ( 37.5%) | combo= 24.3% | ML=1.250 | Team Shots on Target Away
 • Liverpool — Corners Over 6.5 @ 2.100 | Liverpool vs Aston Villa | side=home | team 2/9 ( 22.2%), oppA 2/8 ( 25.0%) | combo= 23.6% | ML=1.610 | Team Corners Home
 • Brighton & Hove Albion — Shots Over 13.5 @ 1.800 | Brighton & Hove Albion vs Leeds United | side=home | team 2/9 ( 22.2%), oppA 2/8 ( 25.0%) | combo= 23.6% | ML=1.950 | Team Shots Home
 • Paris Saint Germain — Shots Over 19.5 @ 1.800 | Paris Saint Germain vs Nice | side=home | team 2/9 ( 22.2%), oppA 2/8 ( 25.0%) | combo= 23.6% | ML=1.200 | Team Shots Home
 • Manchester City — Corners Over 6.5 @ 2.100 | Manchester City vs AFC Bournemouth | side=home | team 3/9 ( 33.3%), oppA 1/8 ( 12.5%) | combo= 22.9% | ML=1.500 | Team Corners Home
 • Milan — SOT Over 4.5 @ 1.900 | Milan vs Roma | side=home | team 4/9 ( 44.4%), oppA 0/7 (  0.0%) | combo= 22.2% | ML=2.200 | Team Shots on Target Home
 • Torino — Shots Over 16.5 @ 1.900 | Torino vs Pisa | side=home | team 0/8 (  0.0%), oppA 3/7 ( 42.9%) | combo= 21.4% | ML=1.950 | Team Shots Home
 • Alanyaspor — Corners Over 5.5 @ 2.200 | Alanyaspor vs Gaziantep F.K. | side=home | team 2/10 ( 20.0%), oppA 2/9 ( 22.2%) | combo= 21.1% | ML=2.100 | Team Corners Home
 • St. Pauli — Shots Over 13.5 @ 1.720 | St. Pauli vs Borussia Mönchengladbach | side=home | team 1/8 ( 12.5%), oppA 2/7 ( 28.6%) | combo= 20.5% | ML=2.350 | Team Shots Home
 • Bari 1908 — Corners Over 4.5 @ 2.100 | Bari 1908 vs Cesena | side=home | team 1/9 ( 11.1%), oppA 2/8 ( 25.0%) | combo= 18.1% | ML=3.200 | Team Corners Home
 • Nantes — Corners Over 5.5 @ 2.000 | Nantes vs Metz | side=home | team 1/9 ( 11.1%), oppA 2/8 ( 25.0%) | combo= 18.1% | ML=2.000 | Team Corners Home
 • West Ham United — Tackles Over 16.5 @ 2.000 | West Ham United vs Newcastle United | side=home | team 1/9 ( 11.1%), oppA 2/8 ( 25.0%) | combo= 18.1% | ML=5.250 | Team Tackles Home
 • Milan — Corners Over 5.5 @ 2.100 | Milan vs Roma | side=home | team 3/9 ( 33.3%), oppA 0/7 (  0.0%) | combo= 16.7% | ML=2.200 | Team Corners Home
 • FSV Mainz 05 — SOT Over 5.5 @ 2.200 | FSV Mainz 05 vs Werder Bremen | side=home | team 0/8 (  0.0%), oppA 2/7 ( 28.6%) | combo= 14.3% | ML=1.750 | Team Shots on Target Home
 • Fulham — SOT Over 4.5 @ 2.100 | Fulham vs Wolverhampton Wanderers | side=home | team 1/9 ( 11.1%), oppA 1/8 ( 12.5%) | combo= 11.8% | ML=1.750 | Team Shots on Target Home
 • Liverpool — SOT Over 5.5 @ 1.830 | Liverpool vs Aston Villa | side=home | team 2/9 ( 22.2%), oppA 0/8 (  0.0%) | combo= 11.1% | ML=1.610 | Team Shots on Target Home
 • Milan — Shots Over 14.5 @ 1.720 | Milan vs Roma | side=home | team 2/9 ( 22.2%), oppA 0/7 (  0.0%) | combo= 11.1% | ML=2.200 | Team Shots Home
 • Paris Saint Germain — SOT Over 8.5 @ 2.100 | Paris Saint Germain vs Nice | side=home | team 1/9 ( 11.1%), oppA 0/8 (  0.0%) | combo=  5.6% | ML=1.200 | Team Shots on Target Home
 • Toulouse — Corners Over 5.5 @ 2.100 | Toulouse vs Le Havre | side=home | team 1/9 ( 11.1%), oppA 0/8 (  0.0%) | combo=  5.6% | ML=1.750 | Team Corners Home

Run timestamp (UTC): 2025-11-01 12:52:02
Params: LEAGUE_IDS='' MIN_DEC_PRICE=1.20 WINDOW_DAYS=7
