Generated at (UTC): 2025-11-01T12:52:02.592292
Window=7 days | Min price=1.20 | ML filter (Shots/SOT/Corners): ≤ 3.50

===== TEAM LINES — OVER (ranked by combo % then price) =====
 • Chelsea — Tackles Over 18.5 @ 1.720 | Tottenham Hotspur vs Chelsea | side=away | team 4/9 ( 44.4%), oppA 6/8 ( 75.0%) | combo= 59.7% | ML=2.500 | Team Tackles Away
 • Brentford — Corners Over 4.5 @ 1.830 | Crystal Palace vs Brentford | side=away | team 5/9 ( 55.6%), oppA 5/8 ( 62.5%) | combo= 59.0% | ML=3.500 | Team Corners Away
 • Manchester United — SOT Over 4.5 @ 1.830 | Nottingham Forest vs Manchester United | side=away | team 5/9 ( 55.6%), oppA 5/8 ( 62.5%) | combo= 59.0% | ML=2.050 | Team Shots on Target Away
 • LOSC Lille — Corners Over 6.5 @ 2.100 | LOSC Lille vs Angers SCO | side=home | team 6/9 ( 66.7%), oppA 4/8 ( 50.0%) | combo= 58.3% | ML=1.300 | Team Corners Home
 • LOSC Lille — Corners Over 5.5 @ 1.660 | LOSC Lille vs Angers SCO | side=home | team 6/9 ( 66.7%), oppA 4/8 ( 50.0%) | combo= 58.3% | ML=1.300 | Team Corners Home
 • Everton — Tackles Over 15.5 @ 2.000 | Sunderland vs Everton | side=away | team 7/9 ( 77.8%), oppA 3/8 ( 37.5%) | combo= 57.6% | ML=2.600 | Team Tackles Away
 • Empoli — Corners Over 4.5 @ 2.000 | Virtus Entella vs Empoli | side=away | team 5/10 ( 50.0%), oppA 5/8 ( 62.5%) | combo= 56.2% | ML=3.500 | Team Corners Away
 • Sampdoria — Corners Over 4.5 @ 1.720 | Sampdoria vs Mantova | side=home | team 5/10 ( 50.0%), oppA 5/8 ( 62.5%) | combo= 56.2% | ML=2.000 | Team Corners Home
 • Cremonese — Corners Over 3.5 @ 1.610 | Pisa vs Cremonese | side=away | team 2/8 ( 25.0%), oppA 6/7 ( 85.7%) | combo= 55.4% | ML=3.500 | Team Corners Away
 • Middlesbrough — Corners Over 4.5 @ 1.830 | Watford vs Middlesbrough | side=away | team 5/10 ( 50.0%), oppA 6/10 ( 60.0%) | combo= 55.0% | ML=2.620 | Team Corners Away
 • Eintracht Frankfurt — Shots Over 14.5 @ 2.000 | Heidenheim vs Eintracht Frankfurt | side=away | team 3/8 ( 37.5%), oppA 5/7 ( 71.4%) | combo= 54.5% | ML=1.850 | Team Shots Away
 • Juventus — SOT Over 5.5 @ 1.900 | Cremonese vs Juventus | side=away | team 2/8 ( 25.0%), oppA 5/6 ( 83.3%) | combo= 54.2% | ML=1.500 | Team Shots on Target Away
 • Liverpool — Corners Over 5.5 @ 1.660 | Liverpool vs Aston Villa | side=home | team 4/9 ( 44.4%), oppA 5/8 ( 62.5%) | combo= 53.5% | ML=1.610 | Team Corners Home
 • Valencia — Tackles Over 18.5 @ 1.900 | Real Madrid vs Valencia | side=away | team 4/10 ( 40.0%), oppA 6/9 ( 66.7%) | combo= 53.3% | ML=13.000 | Team Tackles Away
 • Brentford — SOT Over 3.5 @ 1.900 | Crystal Palace vs Brentford | side=away | team 5/9 ( 55.6%), oppA 4/8 ( 50.0%) | combo= 52.8% | ML=3.500 | Team Shots on Target Away
 • Catanzaro — Corners Over 4.5 @ 1.830 | Catanzaro vs Venezia | side=home | team 5/9 ( 55.6%), oppA 4/8 ( 50.0%) | combo= 52.8% | ML=3.400 | Team Corners Home
 • Nottingham Forest — SOT Over 3.5 @ 1.800 | Nottingham Forest vs Manchester United | side=home | team 5/9 ( 55.6%), oppA 4/8 ( 50.0%) | combo= 52.8% | ML=3.300 | Team Shots on Target Home
 • Rayo Vallecano — Tackles Over 16.5 @ 1.800 | Villarreal vs Rayo Vallecano | side=away | team 5/10 ( 50.0%), oppA 5/9 ( 55.6%) | combo= 52.8% | ML=5.000 | Team Tackles Away
 • Levante — SOT Over 3.5 @ 1.720 | Levante vs Celta de Vigo | side=home | team 5/10 ( 50.0%), oppA 5/9 ( 55.6%) | combo= 52.8% | ML=2.800 | Team Shots on Target Home
 • RB Leipzig — Shots Over 13.5 @ 1.830 | RB Leipzig vs VfB Stuttgart | side=home | team 5/8 ( 62.5%), oppA 3/7 ( 42.9%) | combo= 52.7% | ML=2.000 | Team Shots Home
 • Atlético Madrid — SOT Over 5.5 @ 2.200 | Atlético Madrid vs Sevilla | side=home | team 6/10 ( 60.0%), oppA 4/9 ( 44.4%) | combo= 52.2% | ML=1.330 | Team Shots on Target Home
 • Real Sociedad — Shots Over 11.5 @ 2.000 | Real Sociedad vs Athletic Club | side=home | team 6/10 ( 60.0%), oppA 4/9 ( 44.4%) | combo= 52.2% | ML=2.600 | Team Shots Home
 • Real Sociedad — SOT Over 3.5 @ 1.800 | Real Sociedad vs Athletic Club | side=home | team 6/10 ( 60.0%), oppA 4/9 ( 44.4%) | combo= 52.2% | ML=2.600 | Team Shots on Target Home
 • Konyaspor — Corners Over 4.5 @ 1.720 | Konyaspor vs Samsunspor | side=home | team 6/10 ( 60.0%), oppA 4/9 ( 44.4%) | combo= 52.2% | ML=2.300 | Team Corners Home
 • Chelsea — Shots Over 12.5 @ 1.830 | Tottenham Hotspur vs Chelsea | side=away | team 6/9 ( 66.7%), oppA 3/8 ( 37.5%) | combo= 52.1% | ML=2.500 | Team Shots Away
 • Arsenal — Corners Over 6.5 @ 1.720 | Burnley vs Arsenal | side=away | team 6/9 ( 66.7%), oppA 3/8 ( 37.5%) | combo= 52.1% | ML=1.250 | Team Corners Away
 • FC Union Berlin — Corners Over 4.5 @ 1.830 | FC Union Berlin vs SC Freiburg | side=home | team 6/8 ( 75.0%), oppA 2/7 ( 28.6%) | combo= 51.8% | ML=2.600 | Team Corners Home
 • Beşiktaş — Corners Over 4.5 @ 1.900 | Beşiktaş vs Fenerbahçe | side=home | team 7/10 ( 70.0%), oppA 3/9 ( 33.3%) | combo= 51.7% | ML=2.700 | Team Corners Home
 • FC Andorra — Corners Over 4.5 @ 1.660 | FC Andorra vs Cádiz | side=home | team 7/10 ( 70.0%), oppA 3/9 ( 33.3%) | combo= 51.7% | ML=2.250 | Team Corners Home
 • Newcastle United — Corners Over 6.5 @ 2.100 | West Ham United vs Newcastle United | side=away | team 4/9 ( 44.4%), oppA 4/7 ( 57.1%) | combo= 50.8% | ML=1.600 | Team Corners Away
 • Virtus Entella — Corners Over 5.5 @ 2.100 | Virtus Entella vs Empoli | side=home | team 5/10 ( 50.0%), oppA 4/8 ( 50.0%) | combo= 50.0% | ML=2.200 | Team Corners Home
 • Atalanta — Corners Over 5.5 @ 2.000 | Udinese vs Atalanta | side=away | team 6/9 ( 66.7%), oppA 2/6 ( 33.3%) | combo= 50.0% | ML=1.720 | Team Corners Away
 • Cultural Leonesa — Corners Over 5.5 @ 1.830 | Cultural Leonesa vs Mirandés | side=home | team 4/10 ( 40.0%), oppA 6/10 ( 60.0%) | combo= 50.0% | ML=1.850 | Team Corners Home
 • Real Valladolid — Corners Over 5.5 @ 1.830 | Real Valladolid vs Granada | side=home | team 6/10 ( 60.0%), oppA 4/10 ( 40.0%) | combo= 50.0% | ML=1.900 | Team Corners Home
 • Newcastle United — Shots Over 13.5 @ 1.720 | West Ham United vs Newcastle United | side=away | team 5/9 ( 55.6%), oppA 3/7 ( 42.9%) | combo= 49.2% | ML=1.600 | Team Shots Away
 • Real Madrid — Tackles Over 16.5 @ 2.000 | Real Madrid vs Valencia | side=home | team 6/10 ( 60.0%), oppA 3/8 ( 37.5%) | combo= 48.8% | ML=1.180 | Team Tackles Home
 • Monza — Corners Over 4.5 @ 1.720 | Monza vs Spezia | side=home | team 6/10 ( 60.0%), oppA 3/8 ( 37.5%) | combo= 48.8% | ML=2.100 | Team Corners Home
 • Kayserispor — Corners Over 4.5 @ 1.610 | Kayserispor vs Kasımpaşa | side=home | team 6/10 ( 60.0%), oppA 3/8 ( 37.5%) | combo= 48.8% | ML=2.250 | Team Corners Home
 • Liverpool — Tackles Over 17.5 @ 1.830 | Liverpool vs Aston Villa | side=home | team 2/9 ( 22.2%), oppA 6/8 ( 75.0%) | combo= 48.6% | ML=1.610 | Team Tackles Home
 • Liverpool — Tackles Over 16.5 @ 1.800 | Liverpool vs Aston Villa | side=home | team 2/9 ( 22.2%), oppA 6/8 ( 75.0%) | combo= 48.6% | ML=1.610 | Team Tackles Home
 • Celta de Vigo — Shots Over 12.5 @ 2.000 | Levante vs Celta de Vigo | side=away | team 3/10 ( 30.0%), oppA 6/9 ( 66.7%) | combo= 48.3% | ML=2.500 | Team Shots Away
 • Torino — Corners Over 5.5 @ 2.200 | Torino vs Pisa | side=home | team 2/8 ( 25.0%), oppA 5/7 ( 71.4%) | combo= 48.2% | ML=1.950 | Team Corners Home
 • AFC Bournemouth — Tackles Over 19.5 @ 1.900 | Manchester City vs AFC Bournemouth | side=away | team 3/9 ( 33.3%), oppA 5/8 ( 62.5%) | combo= 47.9% | ML=5.750 | Team Tackles Away
 • Calcio Padova — Corners Over 4.5 @ 1.830 | Calcio Padova vs Südtirol | side=home | team 3/9 ( 33.3%), oppA 5/8 ( 62.5%) | combo= 47.9% | ML=2.400 | Team Corners Home
 • Arsenal — Shots Over 16.5 @ 1.720 | Burnley vs Arsenal | side=away | team 3/9 ( 33.3%), oppA 5/8 ( 62.5%) | combo= 47.9% | ML=1.250 | Team Shots Away
 • Celta de Vigo — SOT Over 4.5 @ 1.900 | Levante vs Celta de Vigo | side=away | team 4/10 ( 40.0%), oppA 5/9 ( 55.6%) | combo= 47.8% | ML=2.500 | Team Shots on Target Away
 • Eyüpspor — Corners Over 4.5 @ 1.660 | Eyüpspor vs Antalyaspor | side=home | team 4/10 ( 40.0%), oppA 5/9 ( 55.6%) | combo= 47.8% | ML=1.830 | Team Corners Home
 • Espanyol — SOT Over 3.5 @ 2.000 | Deportivo Alavés vs Espanyol | side=away | team 7/10 ( 70.0%), oppA 2/8 ( 25.0%) | combo= 47.5% | ML=3.300 | Team Shots on Target Away
 • FC Union Berlin — SOT Over 4.5 @ 2.200 | FC Union Berlin vs SC Freiburg | side=home | team 3/8 ( 37.5%), oppA 4/7 ( 57.1%) | combo= 47.3% | ML=2.600 | Team Shots on Target Home
 • Torino — SOT Over 4.5 @ 1.800 | Torino vs Pisa | side=home | team 3/8 ( 37.5%), oppA 4/7 ( 57.1%) | combo= 47.3% | ML=1.950 | Team Shots on Target Home
 • Tottenham Hotspur — Tackles Over 17.5 @ 2.000 | Tottenham Hotspur vs Chelsea | side=home | team 4/9 ( 44.4%), oppA 4/8 ( 50.0%) | combo= 47.2% | ML=2.750 | Team Tackles Home
 • Real Betis — Shots Over 15.5 @ 1.900 | Real Betis vs Mallorca | side=home | team 5/10 ( 50.0%), oppA 4/9 ( 44.4%) | combo= 47.2% | ML=1.570 | Team Shots Home
 • Strasbourg — Corners Over 3.5 @ 1.800 | Rennes vs Strasbourg | side=away | team 4/9 ( 44.4%), oppA 4/8 ( 50.0%) | combo= 47.2% | ML=2.870 | Team Corners Away
 • Real Betis — SOT Over 4.5 @ 1.720 | Real Betis vs Mallorca | side=home | team 5/10 ( 50.0%), oppA 4/9 ( 44.4%) | combo= 47.2% | ML=1.570 | Team Shots on Target Home
 • Tottenham Hotspur — SOT Over 3.5 @ 1.610 | Tottenham Hotspur vs Chelsea | side=home | team 4/9 ( 44.4%), oppA 4/8 ( 50.0%) | combo= 47.2% | ML=2.750 | Team Shots on Target Home
 • Newcastle United — SOT Over 4.5 @ 1.900 | West Ham United vs Newcastle United | side=away | team 2/9 ( 22.2%), oppA 5/7 ( 71.4%) | combo= 46.8% | ML=1.600 | Team Shots on Target Away
 • Nottingham Forest — Corners Over 4.5 @ 1.830 | Nottingham Forest vs Manchester United | side=home | team 5/9 ( 55.6%), oppA 3/8 ( 37.5%) | combo= 46.5% | ML=3.300 | Team Corners Home
 • Rennes — Corners Over 4.5 @ 1.660 | Rennes vs Strasbourg | side=home | team 5/9 ( 55.6%), oppA 3/8 ( 37.5%) | combo= 46.5% | ML=2.350 | Team Corners Home
 • Eintracht Frankfurt — SOT Over 5.5 @ 2.200 | Heidenheim vs Eintracht Frankfurt | side=away | team 4/8 ( 50.0%), oppA 3/7 ( 42.9%) | combo= 46.4% | ML=1.850 | Team Shots on Target Away
 • Bologna — SOT Over 4.5 @ 2.000 | Parma vs Bologna | side=away | team 4/8 ( 50.0%), oppA 3/7 ( 42.9%) | combo= 46.4% | ML=2.050 | Team Shots on Target Away
 • Borussia Mönchengladbach — Shots Over 11.5 @ 1.830 | St. Pauli vs Borussia Mönchengladbach | side=away | team 4/8 ( 50.0%), oppA 3/7 ( 42.9%) | combo= 46.4% | ML=2.900 | Team Shots Away
 • Bologna — Shots Over 12.5 @ 1.720 | Parma vs Bologna | side=away | team 4/8 ( 50.0%), oppA 3/7 ( 42.9%) | combo= 46.4% | ML=2.050 | Team Shots Away
 • RB Leipzig — SOT Over 4.5 @ 1.720 | RB Leipzig vs VfB Stuttgart | side=home | team 4/8 ( 50.0%), oppA 3/7 ( 42.9%) | combo= 46.4% | ML=2.000 | Team Shots on Target Home
 • Tottenham Hotspur — Corners Over 5.5 @ 2.200 | Tottenham Hotspur vs Chelsea | side=home | team 6/9 ( 66.7%), oppA 2/8 ( 25.0%) | combo= 45.8% | ML=2.750 | Team Corners Home
 • Arsenal — Corners Over 7.5 @ 2.000 | Burnley vs Arsenal | side=away | team 6/9 ( 66.7%), oppA 2/8 ( 25.0%) | combo= 45.8% | ML=1.250 | Team Corners Away
 • Inter — Corners Over 5.5 @ 1.800 | Hellas Verona vs Inter | side=away | team 5/8 ( 62.5%), oppA 2/7 ( 28.6%) | combo= 45.5% | ML=1.360 | Team Corners Away
 • Bologna — Corners Over 4.5 @ 1.720 | Parma vs Bologna | side=away | team 5/8 ( 62.5%), oppA 2/7 ( 28.6%) | combo= 45.5% | ML=2.050 | Team Corners Away
 • Castellón — Corners Over 5.5 @ 1.830 | Castellón vs Málaga | side=home | team 5/10 ( 50.0%), oppA 4/10 ( 40.0%) | combo= 45.0% | ML=1.700 | Team Corners Home
