===== League 8 =====
AFC Bournemouth: SOT: 5,5,6,5,2,5,6,4,3 | Shots: 13,8,11,12,11,13,20,14,10 | Fouls: 17,16,8,13,7,16,13,13,10 | Tackles: 9,18,10,23,15,18,28,12,20 | Cards: 3,4,0,2,2,4,4,2,2 | Saves: 4,4,3,6,1,1,1,1,6 | GKicks: 7,11,6,5,5,12,9,7,11 | Corners: 6,5,4,4,5,4,8,8,7
Nottingham Forest: SOT: 4,2,4,6,8,1,3,1,5 | Shots: 8,12,5,22,17,5,11,9,11 | Fouls: 7,13,15,11,11,11,14,11,7 | Tackles: 19,19,13,16,11,12,19,12,12 | Cards: 1,2,4,4,1,1,0,3,1 | Saves: 3,3,7,2,4,2,5,3,2 | GKicks: 7,9,8,4,6,11,5,10,6 | Corners: 4,5,1,7,5,3,9,3,5
Sunderland: SOT: 4,2,3,3,4,0,3,1,5 | Shots: 10,8,8,11,14,6,12,9,10 | Fouls: 13,5,12,6,14,8,11,5,8 | Tackles: 14,14,21,10,20,13,28,18,14 | Cards: 1,0,4,2,3,1,3,1,0 | Saves: 6,3,4,6,1,6,3,0,4 | GKicks: 8,16,7,12,13,7,5,8,6 | Corners: 1,2,3,4,6,3,3,3,5
Tottenham Hotspur: SOT: 4,3,3,3,3,5,1,5,6 | Shots: 7,10,9,10,11,14,5,12,16 | Fouls: 8,11,12,9,13,7,17,12,14 | Tackles: 20,25,15,17,26,16,16,24,12 | Cards: 0,2,3,3,2,1,2,4,0 | Saves: 2,0,3,2,2,4,5,4,4 | GKicks: 9,6,18,6,9,6,10,11,9 | Corners: 8,6,1,10,10,13,0,2,6
West Ham United: SOT: 3,1,0,3,3,4,8,4,4 | Shots: 9,7,4,14,8,7,12,12,12 | Fouls: 11,10,14,16,15,8,6,7,10 | Tackles: 12,16,17,16,9,13,16,11,12 | Cards: 3,1,2,4,3,1,0,0,1 | Saves: 3,4,3,5,1,2,3,2,2 | GKicks: 5,9,7,9,11,9,12,4,6 | Corners: 4,6,3,5,8,2,7,7,7
Wolverhampton Wanderers: SOT: 7,3,3,3,6,3,4,1,3 | Shots: 15,16,6,9,16,8,12,6,9 | Fouls: 12,12,13,11,11,17,15,16,13 | Tackles: 14,15,26,31,28,16,23,21,25 | Cards: 1,0,2,2,1,4,0,5,1 | Saves: 4,1,5,2,1,3,1,3,0 | GKicks: 3,7,11,6,5,8,4,6,9 | Corners: 4,2,2,9,4,4,2,3,4

===== League 9 =====
Birmingham City: SOT: 1,2,8,3,5,0,7,0,1,1 | Shots: 13,9,29,8,20,5,23,7,11,16 | Fouls: 6,14,7,8,15,12,13,11,16,11 | Tackles: 8,16,11,16,7,6,8,14,21,26 | Cards: 1,5,5,2,3,5,5,1,3,0 | Saves: 0,5,5,3,1,3,2,2,0,1 | GKicks: 8,15,10,4,4,10,7,7,5,5 | Corners: 6,3,9,5,10,4,7,3,7,4
Blackburn Rovers: SOT: 5,6,3,3,5,3,2,5,3,6 | Shots: 9,18,12,17,17,14,9,14,12,14 | Fouls: 12,13,6,15,5,15,11,14,9,19 | Tackles: 22,19,19,16,12,12,26,33,18,19 | Cards: 1,2,1,2,2,3,2,2,3,3 | Saves: 1,4,3,3,5,2,4,1,2,3 | GKicks: 7,6,5,6,9,4,7,13,10,6 | Corners: 4,6,5,7,7,7,3,7,3,1
Bristol City: SOT: 1,4,6,1,3,7,2,4,5,3 | Shots: 5,13,21,11,13,19,12,9,29,11 | Fouls: 9,10,14,9,14,10,15,9,7,5 | Tackles: 16,17,21,10,24,9,12,17,19,14 | Cards: 2,1,3,5,4,1,4,0,1,0 | Saves: 0,6,4,0,2,2,3,0,7,1 | GKicks: 14,8,8,3,8,8,6,6,5,4 | Corners: 0,2,9,4,3,8,8,1,8,5
