fixture_id,league_id,fixture,kickoff,team_id,team,opp_id,opp,venue,market,stat,pick,line,price,model_p,implied_p,threshold,stake,profit,created_at,result,actual,settled_at
19439392,564,Elche vs Girona,2025-12-07 13:00:00,1099,Elche,231,Girona,home,Shots on Target,shots_on_target,Over,4.5,1.83,0.737,0.546,5,1,0.83,2025-12-04T02:49:45,won,6,2025-12-07T16:23:38
19439400,564,Atlético Madrid vs Valencia,2025-12-13 13:00:00,214,Valencia,7980,Atlético Madrid,away,Shots on Target,shots_on_target,Under,2.5,1.72,0.784,0.581,3,1,0.72,2025-12-10T02:51:57,won,2,2025-12-15T16:23:12
19427614,8,Sunderland vs Newcastle United,2025-12-14 14:00:00,20,Newcastle United,3,Sunderland,away,Shots on Target,shots_on_target,Under,4.5,1.8,0.743,0.556,5,1,0.80,2025-12-09T16:20:20,won,2,2025-12-15T16:23:12
19427612,8,Manchester United vs AFC Bournemouth,2025-12-15 20:00:00,14,Manchester United,52,AFC Bournemouth,home,Shots on Target,shots_on_target,Over,5.5,1.72,0.744,0.581,6,1,0.72,2025-12-15T16:23:12,won,9,2025-12-17T14:58:40
19433602,82,FC Köln vs FC Union Berlin,2025-12-20 14:30:00,1079,FC Union Berlin,3320,FC Köln,away,Shots,shots_total,Under,13.5,1.8,0.867,0.556,14,1,0.80,2025-12-16T18:46:59,won,11,2025-12-21T16:19:03
19432022,9,Wrexham vs Sheffield United,2025-12-26 17:30:00,283,Wrexham,21,Sheffield United,home,Shots,shots_total,Over,11.5,1.8,0.723,0.556,12,1,0.80,2025-12-23T16:21:52,won,18,2025-12-27T16:20:01
19425061,384,Bologna vs Atalanta,2026-01-07 17:30:00,8513,Bologna,708,Atalanta,home,Shots on Target,shots_on_target,Over,3.5,1.61,0.700,0.621,4,1,-1.00,2026-01-07T03:00:10,lost,2,2026-01-08T16:25:16
19427660,8,Crystal Palace vs Aston Villa,2026-01-07 19:30:00,51,Crystal Palace,15,Aston Villa,home,Shots on Target,shots_on_target,Under,4.5,1.72,0.660,0.581,5,1,-1.00,2026-01-07T03:00:10,lost,5,2026-01-08T16:25:16
19433614,82,Eintracht Frankfurt vs Borussia Dortmund,2026-01-09 19:30:00,68,Borussia Dortmund,366,Eintracht Frankfurt,away,Shots on Target,shots_on_target,Under,4.5,1.83,0.659,0.546,5,1,-1.00,2026-01-07T03:00:10,lost,6,2026-01-10T16:21:33
19439438,564,Valencia vs Elche,2026-01-10 20:00:00,214,Valencia,1099,Elche,home,Shots,shots_total,Over,12.5,1.72,0.744,0.581,13,1,0.72,2026-01-10T16:21:33,won,16,2026-01-11T16:22:01
19433613,82,Borussia Mönchengladbach vs FC Augsburg,2026-01-11 14:30:00,90,FC Augsburg,683,Borussia Mönchengladbach,away,Shots on Target,shots_on_target,Over,3.5,1.9,0.752,0.526,4,1,-1.00,2026-01-08T03:05:20,lost,2,2026-01-12T16:27:08
19433625,82,TSG Hoffenheim vs Borussia Mönchengladbach,2026-01-14 19:30:00,683,Borussia Mönchengladbach,2726,TSG Hoffenheim,away,Shots,shots_total,Over,11.5,2.0,0.641,0.500,12,1,,2026-01-12T03:09:07,,,
19433625,82,TSG Hoffenheim vs Borussia Mönchengladbach,2026-01-14 19:30:00,683,Borussia Mönchengladbach,2726,TSG Hoffenheim,away,Shots on Target,shots_on_target,Over,3.5,1.61,0.684,0.621,4,1,,2026-01-12T03:09:07,,,
19433634,82,TSG Hoffenheim vs Bayer 04 Leverkusen,2026-01-17 14:30:00,2726,TSG Hoffenheim,3321,Bayer 04 Leverkusen,home,Shots,shots_total,Over,12.5,1.8,0.671,0.556,13,1,,2026-01-13T16:28:49,,,
19439447,564,Real Betis vs Villarreal,2026-01-17 20:00:00,485,Real Betis,3477,Villarreal,home,Shots,shots_total,Over,13.5,1.8,0.714,0.556,14,1,,2026-01-15T03:03:31,,,
