league_id,league_name,fixture_id,fixture,date,ko_time,home_team,away_team,team,opponent,home_away,team_id,opp_id,player,player_id,position,position_bucket,market,line,stat_type,criteria,bookmaker,odds_taken,closing_odds,clv,stake,hit_rate,average,last_sequence,team_ml,opp_ml,team_shot_line,opponent_rank,result,actual_stat,minutes,starter,final_score,created_at,updated_at,settled_at,profit,running_profit
567,,19441253,Granada vs Ceuta,2025-12-07,20:00,Granada,Ceuta,Granada,Ceuta,home,103,12330,Oscar Naasei Oppong,37719051,RB,RB,O1.5 shots,1.50,shots,LC8 (2+ shots 4/7 forwards),bet365,4.33,4.33,,1,4/7,1.14,"2,0,0,2,0,2,2",2.0,3.75,,7,,,,,,2025-12-07T21:04:18.042760,2025-12-07T21:13:14.533065,,,
600,,19443062,Göztepe vs Trabzonspor,2025-12-07,17:00,Göztepe,Trabzonspor,Trabzonspor,Göztepe,away,688,3897,Mustafa Eskihellaç,534376,LB,LB,O1.5 shots,1.50,shots,LC5 (2+ shots 4/5),bet365,4.00,4.00,,1,4/5,2.00,"2,2,2,1,3",3.5,2.15,,6,,,,,,2025-12-07T21:04:18.042832,2025-12-07T21:13:14.533097,,,
384,,19425016,Napoli vs Juventus,2025-12-07,19:45,Napoli,Juventus,Juventus,Napoli,away,625,597,Manuel Locatelli,129890,MID,CM,O1.5 shots,1.50,shots,LC5 (2+ shots 4/5),bet365,3.25,3.25,,1,4/5,1.80,"0,3,2,2,2",3.2,2.5,,7,,,,,,2025-12-07T21:04:18.042864,2025-12-07T21:42:01.506952,,,
