fixture_id,league_id,fixture,kickoff,team_id,team,opp_id,opp,venue,market,stat,pick,line,price,model_p,implied_p,threshold,stake,profit,created_at,result,actual,settled_at
19439392,564,Elche vs Girona,2025-12-07 13:00:00,1099,Elche,231,Girona,home,Shots on Target,shots_on_target,Over,4.5,1.83,0.629,0.546,5,1,0.83,2025-12-04T02:49:43,won,6,2025-12-07T16:23:36
19427614,8,Sunderland vs Newcastle United,2025-12-14 14:00:00,20,Newcastle United,3,Sunderland,away,Shots on Target,shots_on_target,Under,4.5,1.8,0.710,0.556,5,1,0.80,2025-12-09T16:20:18,won,2,2025-12-15T16:23:11
19433602,82,FC Köln vs FC Union Berlin,2025-12-20 14:30:00,1079,FC Union Berlin,3320,FC Köln,away,Shots,shots_total,Under,13.5,1.8,0.737,0.556,14,1,0.80,2025-12-16T18:46:58,won,11,2025-12-21T16:19:03
19432022,9,Wrexham vs Sheffield United,2025-12-26 17:30:00,283,Wrexham,21,Sheffield United,home,Shots,shots_total,Over,11.5,1.8,0.679,0.556,12,1,0.80,2025-12-23T16:21:51,won,18,2025-12-27T16:20:00
19427660,8,Crystal Palace vs Aston Villa,2026-01-07 19:30:00,51,Crystal Palace,15,Aston Villa,home,Shots on Target,shots_on_target,Under,4.5,1.72,0.659,0.581,5,1,-1.00,2026-01-07T03:00:09,lost,5,2026-01-08T16:25:14
19433614,82,Eintracht Frankfurt vs Borussia Dortmund,2026-01-09 19:30:00,68,Borussia Dortmund,366,Eintracht Frankfurt,away,Shots on Target,shots_on_target,Under,4.5,1.83,0.619,0.546,5,1,-1.00,2026-01-07T03:00:09,lost,6,2026-01-10T16:21:31
19439438,564,Valencia vs Elche,2026-01-10 20:00:00,214,Valencia,1099,Elche,home,Shots,shots_total,Over,12.5,1.72,0.657,0.581,13,1,0.72,2026-01-10T16:21:31,won,16,2026-01-11T16:22:00
19433613,82,Borussia Mönchengladbach vs FC Augsburg,2026-01-11 14:30:00,90,FC Augsburg,683,Borussia Mönchengladbach,away,Shots on Target,shots_on_target,Over,3.5,1.9,0.678,0.526,4,1,,2026-01-08T03:05:19,,,
19433625,82,TSG Hoffenheim vs Borussia Mönchengladbach,2026-01-14 19:30:00,683,Borussia Mönchengladbach,2726,TSG Hoffenheim,away,Shots,shots_total,Over,11.5,1.9,0.613,0.526,12,1,,2026-01-12T03:09:06,,,
