league_id,league_name,fixture_id,fixture,date,ko_time,home_team,away_team,team,opponent,home_away,team_id,opp_id,player,player_id,position,position_bucket,market,line,stat_type,criteria,bookmaker,odds_taken,closing_odds,clv,stake,hit_rate,average,last_sequence,team_ml,opp_ml,team_shot_line,opponent_rank,result,actual_stat,minutes,starter,final_score,created_at,updated_at,settled_at,profit,running_profit
387,,19509209,Empoli vs Palermo,2025-12-07,16:15:00,Empoli,Palermo,Palermo,Empoli,away,1216,397,Mattia Bani,132132,CB,CB,O0.5 shots,0.50,shots,C4 (1+ shot 8/10 + 2+ >=3),bet365,1.90,1.90,,1,8/10,1.30,"1,2,0,2,1,2,1,0,1,3",2.35,3.2,,3,,,,,,2025-12-07T18:39:52.189182,2025-12-07T18:39:52.189182,,,
9,,19431984,Derby County vs Millwall,2025-12-10,19:45:00,Derby County,Millwall,Millwall,Derby County,away,64,24,Femi Azeez,26715260,MID,CM,O0.5 SOT,0.50,shots_on_target,"C11 (1+ SOT 5/5, 2+ >=1)",bet365,2.10,2.10,,1,6/8,1.25,"2,1,3,1,2,1,0,0",3.0,2.37,,8,,,,,,2025-12-07T18:40:02.229758,2025-12-07T18:40:02.229758,,,
9,,19431984,Derby County vs Millwall,2025-12-10,19:45:00,Derby County,Millwall,Millwall,Derby County,away,64,24,Femi Azeez,26715260,MID,CM,O1.5 shots,1.50,shots,"C12 (2+ shots 5/5, 3+ >=1)",bet365,1.83,1.83,,1,7/8,2.75,"3,4,6,2,2,1,2,2",3.0,2.37,,8,,,,,,2025-12-07T18:40:02.229800,2025-12-07T18:40:02.229800,,,
