league_id,league_name,fixture_id,fixture,date,ko_time,home_team,away_team,team,opponent,home_away,team_id,opp_id,player,player_id,position,position_bucket,market,line,stat_type,criteria,bookmaker,odds_taken,closing_odds,clv,stake,hit_rate,average,last_sequence,team_ml,opp_ml,team_shot_line,opponent_rank,result,actual_stat,minutes,starter,final_score,created_at,updated_at,settled_at,profit,running_profit
82,,19433596,FC Bayern München vs FSV Mainz 05,2025-12-14,16:30:00,FC Bayern München,FSV Mainz 05,FC Bayern München,FSV Mainz 05,home,503,794,Michael Olise,24799984,MID,CM,O1.5 SOT,1.50,shots_on_target,V4 HR 9/10 (gate 10/12),bet365,1.83,1.83,,1,9/10,2.30,"2,3,2,2,2,0,3,3,4,2",1.1,19.0,,3,,,,,,2025-12-11T22:45:18.497185,2025-12-12T20:25:40.747008,,,
301,,19433868,Angers SCO vs Nantes,2025-12-12,19:45:00,Angers SCO,Nantes,Nantes,Angers SCO,away,59,776,Matthis Abline,37328128,FWD,ST,O2.5 shots,2.50,shots,V4 HR 8/10 (gate 8/10),bet365,1.80,1.80,,1,8/10,3.30,"4,4,2,3,5,3,3,5,3,1",3.5,2.1,,3,,,,,,2025-12-11T22:57:10.946812,2025-12-12T20:25:40.746982,,,
8,,19427609,Chelsea vs Everton,2025-12-13,15:00:00,Chelsea,Everton,Chelsea,Everton,home,18,13,Enzo Fernández,29709995,MID,CM,O0.5 SOT,0.50,shots_on_target,V4 HR 8/10 (gate 8/10),bet365,1.90,1.90,,1,8/10,1.20,"1,0,1,1,2,1,3,1,2,0",1.66,5.25,,6,,,,,,2025-12-11T22:57:11.480493,2025-12-12T20:25:40.747000,,,
9,,19431992,Norwich City vs Southampton,2025-12-13,12:30:00,Norwich City,Southampton,Southampton,Norwich City,away,65,33,Adam Armstrong,2951,FWD,ST,O1.5 SOT,1.50,shots_on_target,V4 HR 8/10 (gate 8/10),bet365,2.10,2.10,,1,8/10,1.80,"3,3,2,2,2,2,0,0,2,2",1.95,3.4,,6,,,,,,2025-12-11T22:57:11.681559,2025-12-12T20:25:40.747013,,,
