entry_type,combo_id,leg_index,league_id,league_name,fixture_id,fixture,date,ko_time,home_team,away_team,team,opponent,home_away,team_id,opp_id,player,player_id,position,position_bucket,market,line,stat_type,criteria,bookmaker,odds_taken,closing_odds,clv,stake,hit_rate,average,last_sequence,team_ml,opp_ml,team_shot_line,opponent_rank,result,actual_stat,minutes,starter,final_score,created_at,updated_at,settled_at,profit,running_profit,combo_price,combo_result,leg1_player,leg1_player_id,leg1_fixture_id,leg1_league_id,leg1_market,leg1_line,leg1_stat_type,leg2_player,leg2_player_id,leg2_fixture_id,leg2_league_id,leg2_market,leg2_line,leg2_stat_type
leg,,,384,,19425011,Cagliari vs Roma,2025-12-07,14:00,Cagliari,Roma,Roma,Cagliari,away,37,585,Bryan Cristante,129467,MID,CM,O0.5 shots,0.5,shots,C2 (1+ shot 9/10),bet365,1.25,1.25,,1,9/10,1.80,"0,1,1,2,3,3,2,1,4,1",1.66,5.5,,10,,,,,,2025-12-07T20:16:00.049914,2025-12-07T20:16:00.049937,,,,,,,,,,,,,,,,,,,
leg,,,9,,19431985,Hull City vs Wrexham,2025-12-10,20:00,Hull City,Wrexham,Wrexham,Hull City,away,283,22,Lewis O'Brien,10310312,FWD,ST,O0.5 shots,0.5,shots,C4 (1+ shot 7/10 forwards),bet365,1.25,1.25,,1,7/10,1.40,"0,2,2,0,1,2,1,4,0,2",2.9,2.25,,24,,,,,,2025-12-07T20:16:00.049970,2025-12-07T20:16:00.049972,,,,,,,,,,,,,,,,,,,
