Generated at (UTC): 2025-10-13T20:17:35Z
Min price: 1.80  |  Bookmaker: Bet365  |  Leagues: 16

===== SOT 1+ — Bet365 — ≥ 1.80 =====
Player                 Team                   Fixture                                    Price Market                          HomeML  AwayML
Josh Sargent           Norwich City           Norwich City vs Bristol City              21.000 Player Shots                      2.50    2.75
Julián Alvarez         Atlético Madrid        Atletico Madrid vs CA Osasuna             21.000 Player Shots                      1.40    7.50
Jun-ho Bae             Stoke City             Stoke City vs Wrexham AFC                 21.000 Player Shots                      1.90    4.10
Lloyd Jones            Charlton Athletic      Charlton Athletic vs Sheffield Wednesday  21.000 Player Shots                      1.66    5.50
Louis Oppie            St. Pauli              FC St. Pauli vs TSG Hoffenheim            21.000 Player Shots                      2.45    2.80
Mathias Pereira Lage   St. Pauli              FC St. Pauli vs TSG Hoffenheim            21.000 Player Shots                      2.45    2.80
Matteo Prati           Cagliari               Cagliari Calcio vs Bologna FC             21.000 Player Shots                      3.30    2.20
Matías Soulé           Roma                   AS Roma vs Inter Milano                   21.000 Player Shots                      2.60    2.45
Million Manhoef        Stoke City             Stoke City vs Wrexham AFC                 21.000 Player Shots                      1.90    4.10
Mirko Topić            Norwich City           Norwich City vs Bristol City              21.000 Player Shots                      2.50    2.75
Mostafa Mohamed        Nantes                 FC Nantes vs Lille OSC                    21.000 Player Shots                      3.60    1.80
Nico Paz               Como                   Como 1907 vs Juventus Turin               21.000 Player Shots                      2.75    2.45
Nicolas Seiwald        RB Leipzig             RB Leipzig vs Hamburger SV                21.000 Player Shots                      1.44    6.50
Nikola Vlašić          Torino                 Torino FC vs SSC Napoli                   21.000 Player Shots                      5.00    1.75
Pablo Ibáñez           Deportivo Alavés       Deportivo Alaves vs Valencia CF           21.000 Player Shots                      2.40    3.25
R. Burrell             Queens Park Rangers    Queens Park Rangers vs Millwall FC        21.000 Player Shots                      2.70    2.70
Richard Kone           Queens Park Rangers    Queens Park Rangers vs Millwall FC        21.000 Player Shots                      2.70    2.70
Ridle Baku             RB Leipzig             RB Leipzig vs Hamburger SV                21.000 Player Shots                      1.44    6.50
Rubén Vargas           Sevilla                Sevilla FC vs RCD Mallorca                21.000 Player Shots                      1.85    4.50
Ryan Manning           Southampton            Southampton FC vs Swansea City            21.000 Player Shots                      1.90    4.10
Rômulo                 RB Leipzig             RB Leipzig vs Hamburger SV                21.000 Player Shots                      1.44    6.50
Santiago Gimenez       Milan                  AC Milan vs ACF Fiorentina                21.000 Player Shots                      1.50    6.00
Sebastiano Esposito    Cagliari               Cagliari Calcio vs Bologna FC             21.000 Player Shots                      3.30    2.20
Sonny Carey            Charlton Athletic      Charlton Athletic vs Sheffield Wednesday  21.000 Player Shots                      1.66    5.50
Sorba Thomas           Stoke City             Stoke City vs Wrexham AFC                 21.000 Player Shots                      1.90    4.10
Tyreece Campbell       Charlton Athletic      Charlton Athletic vs Sheffield Wednesday  21.000 Player Shots                      1.66    5.50
Tyrese Campbell        Sheffield United       Charlton Athletic vs Sheffield Wednesday  21.000 Player Shots                      1.66    5.50
